Company Name,Website URL,Confidence,Track,Primary Category,Subcategory,Secondary Tags
100x Impact Accelerator,https://100ximpact.org,VERIFY,Funders & Capital,Accelerators,Social Enterprise,"Impact VC, Fellowship Programs"
1863 Ventures,https://1863ventures.net,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Workforce Development, Economic Inclusion"
2030 Fund / Open Road Alliance,https://openroadimpact.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,Global Development
8B Education,https://8beducation.com,VERIFY,Funders & Capital,Foundations & Grants,Corporate Foundations,"Ed Tech, Youth & Education"
8X Ventures,https://8xventures.com,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,Economic Inclusion
Accelerate Africa,https://accelerateafrica.com,VERIFY,Funders & Capital,Accelerators,Social Enterprise,"Economic Inclusion, Global Development"
Accelerating Asia,https://acceleratingasia.com,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Economic Inclusion, Global Development"
Access Ventures,https://accessventures.org,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,Economic Inclusion
Accion,https://accion.org,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,"Economic Inclusion, Impact Fintech"
Accion Venture Lab,https://www.accion.org/how-we-work/investment-strategies/accion-impact-management/accion-ventures/,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,"Impact Fintech, Economic Inclusion"
Achieve Partners,https://achievepartners.com,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,"Workforce Development, Ed Tech"
Acre of America / ACRE DAOs,https://acredao.org,VERIFY,Funders & Capital,Venture Capital,Impact VC,Regenerative Ag.
Acre Venture Partners,https://acreventurepartners.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,"Food Systems, Regenerative Ag."
Acumen Fund,https://acumen.org,CONFIDENT,Funders & Capital,Foundations & Grants,Catalytic Capital,"Economic Inclusion, Global Development"
Adobe Capital,https://adobecapital.net,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
AirMiners Launchpad,https://airminers.com,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,Carbon & Climate Tech
Alante Capital,https://alantecapital.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Apparel & Footwear, Circular Economy"
Aligned Climate Capital,https://alignedclimatecapital.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
AlphaLab Accelerator,https://alphalab.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,
Alterfin,https://alterfin.be,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,"Economic Inclusion, Food Systems"
Anticipatory Action Accelerator,https://mercycorps.org/ventures,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,Global Development
Aqua-Spark,https://aqua-spark.nl,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Ocean & Water, Food Systems"
ASEAN Institute Accelerator,https://aseaninstitute.org,VERIFY,Funders & Capital,Accelerators,Social Enterprise,"Gender Equity, Global Development"
Astanor Ventures,https://astanor.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,"Impact VC, Food Systems"
Azolla Ventures,https://azollaventures.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,Impact VC
Backstage Capital,https://backstagecapital.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Workforce Development, Gender Equity"
Bamboo Capital Partners,https://bamboocp.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
Baseline Wealth Management,https://baselinewealth.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Beartooth Financial,https://beartoothfinancial.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,"Biodiversity, Carbon & Climate Tech"
Beartooth Group,https://beartoothgroup.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,"Biodiversity, Carbon & Climate Tech"
Better Ventures,https://betterventures.io,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Big Path Capital,https://bigpathcapital.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,
Blue Haven Initiative,https://bluehaveninitiative.com,CONFIDENT,Funders & Capital,Foundations & Grants,Family Offices,"Economic Inclusion, Climate Tech VC"
Branson Centre of Entrepreneurship,https://bransoncentre.co,VERIFY,Funders & Capital,Accelerators,Social Enterprise,Economic Inclusion
Breakthrough Energy,https://breakthroughenergy.org,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Clean Energy
Burnt Island Ventures,https://burntislandventures.com,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Calvert Impact Capital,https://calvertimpact.org,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,Economic Inclusion
Carbon Equity,https://www.carbonequity.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Impact Fintech
Cerulean Ventures,https://cerulean.vc,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,"AI for Good, Biodiversity"
Citizen Mint,https://www.citizenmint.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,Impact Fintech
